year,race_label,lei,approved_count,denied_count,legal_name
2018,Black,5493003GQDUH26DNNH17,72380.0,21384.0,NAVY FEDERAL CREDIT UNION
2018,Asian,549300FGXN1K3HLB1R50,150604.0,28060.0,"ROCKET MORTGAGE, LLC"
2018,Black,549300FGXN1K3HLB1R50,106361.0,30832.0,"ROCKET MORTGAGE, LLC"
2018,White,549300FGXN1K3HLB1R50,1548258.0,260253.0,"ROCKET MORTGAGE, LLC"
2018,Asian,549300HW662MN1WU8550,317636.0,20592.0,"UNITED WHOLESALE MORTGAGE, LLC"
2018,Black,549300HW662MN1WU8550,96165.0,11970.0,"UNITED WHOLESALE MORTGAGE, LLC"
2018,White,549300HW662MN1WU8550,1815549.0,89250.0,"UNITED WHOLESALE MORTGAGE, LLC"
2018,White,549300MGPZBLQDIL7538,1296300.0,44300.0,FAIRWAY INDEPENDENT MORTGAGE CORPORATION
2018,Asian,7H6GLXDRUGQFU57RNE97,380736.0,39456.0,"JPMorgan Chase Bank, National Association"
2018,Black,7H6GLXDRUGQFU57RNE97,71368.0,14080.0,"JPMorgan Chase Bank, National Association"
2018,White,7H6GLXDRUGQFU57RNE97,1383171.0,138261.0,"JPMorgan Chase Bank, National Association"
2018,Asian,B4TYDEB6GKMZO031MB27,275821.0,44786.0,"Bank of America, National Association"
2018,Black,B4TYDEB6GKMZO031MB27,,,"Bank of America, National Association"
2018,White,B4TYDEB6GKMZO031MB27,,,"Bank of America, National Association"
2018,Asian,KB1H1DSPRFMYMCUFXT09,360150.0,55860.0,"Wells Fargo Bank, National Association"
2018,Black,KB1H1DSPRFMYMCUFXT09,119850.0,36237.0,"Wells Fargo Bank, National Association"
2018,White,KB1H1DSPRFMYMCUFXT09,2099211.0,269637.0,"Wells Fargo Bank, National Association"
2018,Asian,SS1TRMSN6BRNMOREEV51,,,"Flagstar Bank, National Association"
2018,White,SS1TRMSN6BRNMOREEV51,,,"Flagstar Bank, National Association"
2019,Black,5493003GQDUH26DNNH17,81467.0,29971.0,NAVY FEDERAL CREDIT UNION
2019,Asian,549300FGXN1K3HLB1R50,207364.0,25333.0,"ROCKET MORTGAGE, LLC"
